Date,BOVA,CVC,GOL,MGLU,TOTS,WEGE
2018-01-01,-1.0856306033005612,0.9973454465835858,0.28297849805199204,-1.506294713918092,-0.5786002519685364,1.651436537097151
2018-01-02,-3.5123098466936353,0.5684328177274085,1.548914756757526,-2.3730351161831935,-1.2574864035905908,1.55672756816026
2018-01-03,-2.0209202205693475,-0.07046917895724247,1.1049327971114606,-2.807386391801711,0.9484436791348649,3.743513657134047
2018-01-04,-1.0168663226904704,0.3157172202176135,1.842301373007703,-1.3166543636509118,0.01260981073247358,4.91934270191615
2018-01-05,-2.270746990439483,-0.3220342822357968,2.7494065688080043,-2.7453350638768805,-0.1274589094561925,4.057587806056465
2018-01-06,-2.52636636097008,-3.1206233876965213,0.9778734642981572,-3.445212298474798,0.8000035223023899,3.883952123266249
2018-01-07,-2.523520445073269,-2.432400676594236,0.09833712128910532,-3.161584974667507,-0.005362995763225853,2.156282629145642
2018-01-08,-2.9144202388283698,-1.8585948141891784,0.43692617228890684,-3.173415469146327,2.3870022701745,2.5691947894544205
2018-01-09,-1.935684232891023,0.3795485243087744,-0.857159150872342,-4.212203679351281,4.130714495297431,1.771132054213358
2018-01-10,-1.9060010025876928,1.448864493733123,0.033547240420828794,-2.4573174973701715,5.6263586323309,2.8405247239190947
2018-01-11,-2.6787097168348843,2.243727161526341,0.34781923492769584,-3.783582957310627,7.043657678807753,3.647761258497661
2018-01-12,-2.6332196362037874,2.0106351005419274,-0.8504819097730911,-3.5840588837519944,7.512096798253397,2.816606274254382
2018-01-13,-1.471015587104258,0.9134320540588932,-2.973582259815533,-2.544331792859294,7.10873076015129,2.6905766889413667
2018-01-14,-2.308532309929311,-0.6925307066585096,-1.7183448850913146,-3.2332007767062154,8.769683248299229,3.4978848751520952
2018-01-15,-2.623290456646771,-1.778433107785376,-2.4508068718117717,-4.445723907801385,10.856796607887414,3.6623261053819203
2018-01-16,-1.4730849141001388,-3.0457851567956036,-2.269771742214768,-3.267861968992807,10.521785845954398,4.693440564303662
2018-01-17,-2.5576528261059055,-4.409256701414188,-1.8903711301366317,-3.647038403565359,11.163840535226228,2.715552632783213
2018-01-18,-1.8453881906353873,-1.8109527741448734,-1.9149971115681124,-3.6128962746555175,11.343390019864907,0.853576921991426
2018-01-19,-1.4192415509450773,-3.416362518160838,-2.3426767096919168,-2.3700267250517806,10.60817306376483,1.3548259115588261
2018-01-20,-0.4065024969887068,-3.1376216620648383,-3.7136251797865247,-2.7025020004031943,12.567584406153117,-0.6702198514386448
2018-01-21,-0.6822885108548822,-3.689729733552946,-3.592877816689386,-1.954286383215964,14.17627537417517,-0.9404522434478029
2018-01-22,0.13005281912193822,-3.1899895886877734,-3.1185305188175856,-2.5182103147424364,13.178953905399268,-2.0404953560685
2018-01-23,-0.6263843902771851,-2.8683030128215465,-2.357581125689256,-2.1947414668855414,12.629998809203528,-0.234525246136025
2018-01-24,0.8924812333543548,-3.22230312557172,-3.181012531674922,-2.064526512727572,13.897297454257881,0.09823973111809209
2018-01-25,1.449029938264399,-3.4343832478473457,-2.7247416364726913,-0.5199820612714334,13.65762867278017,0.24154746362596463
2018-01-26,1.7028464148140263,-3.1506578920763086,-4.136630512543919,-2.3968507171453277,12.63797360185833,0.4094897590276328
2018-01-27,2.2567025808172376,-3.681332451849933,-2.759373029676612,-2.540026691471515,12.658289600092955,0.21552588847497037
2018-01-28,2.390729373563903,-2.9768583778063293,-2.093719591764281,-3.438449632081105,14.181953376571482,-0.8795005689519472
2018-01-29,2.4699563876545154,-3.251254951328682,-3.142711269082768,-3.5135702200549366,13.441139603279083,-0.8065933256758949
2018-01-30,2.8730423488738825,-1.7793255823554104,-2.835327050455353,-4.124795560359761,13.049519792559481,-0.6666152195613313
2018-01-31,2.966503178336034,-0.31973631412698955,-1.4399741206983985,-4.483731486602022,12.500877664373283,-3.22366982362919
2018-02-01,2.4175827650138135,-1.2977940202112732,-1.7947985787932172,-4.092147244251911,12.67806999357227,-3.253637830676732
2018-02-02,2.6171648761023274,-1.423911793442265,-1.5977796462497411,-7.323202252171223,12.408776503821516,-3.3644885517297394
2018-02-03,2.2759031598957415,-1.6418580555452067,-0.894469528443011,-7.921307583512048,14.609478603038644,-2.676191621507651
2018-02-04,2.2695959089818696,-1.8485203587427732,-0.9809918148251462,-8.836614653456026,14.514276063780635,-2.3975081047805964
2018-02-05,2.849137524555099,-1.2688305795984396,-1.2558693613910807,-10.252696905977956,13.845173437547189,-0.7853150619682083
2018-02-06,3.745195837965047,-0.8992109932942656,-2.017163606151205,-10.249051751004178,12.589504751884707,-1.337251937664282
